Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Jan 1 2017,6:00 pm,San Antonio Spurs,,Atlanta Hawks,,,,
Sun Jan 1 2017,6:00 pm,Orlando Magic,,Indiana Pacers,,,,
Sun Jan 1 2017,9:30 pm,Toronto Raptors,,Los Angeles Lakers,,,,
Sun Jan 1 2017,6:00 pm,Detroit Pistons,,Miami Heat,,,,
Sun Jan 1 2017,7:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Mon Jan 2 2017,7:30 pm,Utah Jazz,,Brooklyn Nets,,,,
Mon Jan 2 2017,8:00 pm,Charlotte Hornets,,Chicago Bulls,,,,
Mon Jan 2 2017,7:00 pm,New Orleans Pelicans,,Cleveland Cavaliers,,,,
Mon Jan 2 2017,10:30 pm,Denver Nuggets,,Golden State Warriors,,,,
Mon Jan 2 2017,8:00 pm,Washington Wizards,,Houston Rockets,,,,
Mon Jan 2 2017,10:30 pm,Phoenix Suns,,Los Angeles Clippers,,,,
Mon Jan 2 2017,7:00 pm,Oklahoma City Thunder,,Milwaukee Bucks,,,,
Mon Jan 2 2017,7:30 pm,Orlando Magic,,New York Knicks,,,,
Tue Jan 3 2017,7:30 pm,Utah Jazz,,Boston Celtics,,,,
Tue Jan 3 2017,8:30 pm,Washington Wizards,,Dallas Mavericks,,,,
Tue Jan 3 2017,9:00 pm,Sacramento Kings,,Denver Nuggets,,,,
Tue Jan 3 2017,7:30 pm,Indiana Pacers,,Detroit Pistons,,,,
Tue Jan 3 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Lakers,,,,
Tue Jan 3 2017,7:00 pm,Minnesota Timberwolves,,Philadelphia 76ers,,,,
Tue Jan 3 2017,9:00 pm,Miami Heat,,Phoenix Suns,,,,
Tue Jan 3 2017,8:30 pm,Toronto Raptors,,San Antonio Spurs,,,,
Wed Jan 4 2017,7:00 pm,Oklahoma City Thunder,,Charlotte Hornets,,,,
Wed Jan 4 2017,8:00 pm,Chicago Bulls,,Cleveland Cavaliers,,,,
Wed Jan 4 2017,10:30 pm,Portland Trail Blazers,,Golden State Warriors,,,,
Wed Jan 4 2017,10:30 pm,Memphis Grizzlies,,Los Angeles Clippers,,,,
Wed Jan 4 2017,7:30 pm,Milwaukee Bucks,,New York Knicks,,,,
Wed Jan 4 2017,7:00 pm,Atlanta Hawks,,Orlando Magic,,,,
Wed Jan 4 2017,10:30 pm,Miami Heat,,Sacramento Kings,,,,
Thu Jan 5 2017,8:30 pm,Phoenix Suns,,Dallas Mavericks,,,,
Thu Jan 5 2017,10:30 pm,San Antonio Spurs,,Denver Nuggets,,,,
Thu Jan 5 2017,7:30 pm,Charlotte Hornets,,Detroit Pistons,,,,
Thu Jan 5 2017,8:00 pm,Oklahoma City Thunder,,Houston Rockets,,,,
Thu Jan 5 2017,7:00 pm,Brooklyn Nets,,Indiana Pacers,,,,
Thu Jan 5 2017,8:00 pm,Atlanta Hawks,,New Orleans Pelicans,,,,
Thu Jan 5 2017,10:00 pm,Los Angeles Lakers,,Portland Trail Blazers,,,,
Thu Jan 5 2017,7:30 pm,Utah Jazz,,Toronto Raptors,,,,
Fri Jan 6 2017,7:30 pm,Philadelphia 76ers,,Boston Celtics,,,,
Fri Jan 6 2017,7:30 pm,Cleveland Cavaliers,,Brooklyn Nets,,,,
Fri Jan 6 2017,10:30 pm,Memphis Grizzlies,,Golden State Warriors,,,,
Fri Jan 6 2017,10:30 pm,Miami Heat,,Los Angeles Lakers,,,,
Fri Jan 6 2017,8:00 pm,New York Knicks,,Milwaukee Bucks,,,,
Fri Jan 6 2017,7:00 pm,Houston Rockets,,Orlando Magic,,,,
Fri Jan 6 2017,10:30 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Fri Jan 6 2017,7:00 pm,Minnesota Timberwolves,,Washington Wizards,,,,
Sat Jan 7 2017,7:30 pm,New Orleans Pelicans,,Boston Celtics,,,,
Sat Jan 7 2017,8:00 pm,Toronto Raptors,,Chicago Bulls,,,,
Sat Jan 7 2017,8:30 pm,Atlanta Hawks,,Dallas Mavericks,,,,
Sat Jan 7 2017,7:00 pm,New York Knicks,,Indiana Pacers,,,,
Sat Jan 7 2017,8:00 pm,Utah Jazz,,Minnesota Timberwolves,,,,
Sat Jan 7 2017,8:00 pm,Denver Nuggets,,Oklahoma City Thunder,,,,
Sat Jan 7 2017,10:00 pm,Detroit Pistons,,Portland Trail Blazers,,,,
Sat Jan 7 2017,8:30 pm,Charlotte Hornets,,San Antonio Spurs,,,,
Sun Jan 8 2017,12:00 pm,Philadelphia 76ers,,Brooklyn Nets,,,,
Sun Jan 8 2017,3:30 pm,Miami Heat,,Los Angeles Clippers,,,,
Sun Jan 8 2017,9:30 pm,Orlando Magic,,Los Angeles Lakers,,,,
Sun Jan 8 2017,8:00 pm,Utah Jazz,,Memphis Grizzlies,,,,
Sun Jan 8 2017,3:30 pm,Washington Wizards,,Milwaukee Bucks,,,,
Sun Jan 8 2017,8:30 pm,Cleveland Cavaliers,,Phoenix Suns,,,,
Sun Jan 8 2017,9:00 pm,Golden State Warriors,,Sacramento Kings,,,,
Sun Jan 8 2017,6:00 pm,Houston Rockets,,Toronto Raptors,,,,
Mon Jan 9 2017,8:00 pm,Oklahoma City Thunder,,Chicago Bulls,,,,
Mon Jan 9 2017,8:00 pm,Dallas Mavericks,,Minnesota Timberwolves,,,,
Mon Jan 9 2017,7:30 pm,New Orleans Pelicans,,New York Knicks,,,,
Tue Jan 10 2017,7:30 pm,Atlanta Hawks,,Brooklyn Nets,,,,
Tue Jan 10 2017,10:30 pm,Miami Heat,,Golden State Warriors,,,,
Tue Jan 10 2017,8:00 pm,Charlotte Hornets,,Houston Rockets,,,,
Tue Jan 10 2017,10:30 pm,Portland Trail Blazers,,Los Angeles Lakers,,,,
Tue Jan 10 2017,10:30 pm,Detroit Pistons,,Sacramento Kings,,,,
Tue Jan 10 2017,8:30 pm,Milwaukee Bucks,,San Antonio Spurs,,,,
Tue Jan 10 2017,7:30 pm,Boston Celtics,,Toronto Raptors,,,,
Tue Jan 10 2017,9:00 pm,Cleveland Cavaliers,,Utah Jazz,,,,
Tue Jan 10 2017,7:00 pm,Chicago Bulls,,Washington Wizards,,,,
Wed Jan 11 2017,8:00 pm,Washington Wizards,,Boston Celtics,,,,
Wed Jan 11 2017,10:30 pm,Orlando Magic,,Los Angeles Clippers,,,,
Wed Jan 11 2017,8:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Wed Jan 11 2017,8:00 pm,Memphis Grizzlies,,Oklahoma City Thunder,,,,
Wed Jan 11 2017,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Wed Jan 11 2017,10:30 pm,Cleveland Cavaliers,,Portland Trail Blazers,,,,
Thu Jan 12 2017,7:30 pm,New Orleans Pelicans,,Brooklyn Nets,,,,
Thu Jan 12 2017,3:00 pm,Indiana Pacers,,Denver Nuggets,,,,
Thu Jan 12 2017,10:30 pm,Detroit Pistons,,Golden State Warriors,,,,
Thu Jan 12 2017,8:00 pm,Chicago Bulls,,New York Knicks,,,,
Thu Jan 12 2017,10:00 pm,Dallas Mavericks,,Phoenix Suns,,,,
Thu Jan 12 2017,8:30 pm,Los Angeles Lakers,,San Antonio Spurs,,,,
Fri Jan 13 2017,8:00 pm,Boston Celtics,,Atlanta Hawks,,,,
Fri Jan 13 2017,8:00 pm,Memphis Grizzlies,,Houston Rockets,,,,
Fri Jan 13 2017,8:00 pm,Miami Heat,,Milwaukee Bucks,,,,
Fri Jan 13 2017,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Fri Jan 13 2017,7:00 pm,Charlotte Hornets,,Philadelphia 76ers,,,,
Fri Jan 13 2017,10:00 pm,Orlando Magic,,Portland Trail Blazers,,,,
Fri Jan 13 2017,10:30 pm,Cleveland Cavaliers,,Sacramento Kings,,,,
Fri Jan 13 2017,7:30 pm,Brooklyn Nets,,Toronto Raptors,,,,
Fri Jan 13 2017,10:30 pm,Detroit Pistons,,Utah Jazz,,,,
Sat Jan 14 2017,5:00 pm,New Orleans Pelicans,,Chicago Bulls,,,,
Sat Jan 14 2017,3:30 pm,Los Angeles Lakers,,Los Angeles Clippers,,,,
Sat Jan 14 2017,6:00 pm,San Antonio Spurs,,Phoenix Suns,,,,
Sat Jan 14 2017,9:00 pm,Orlando Magic,,Utah Jazz,,,,
Sat Jan 14 2017,8:00 pm,Philadelphia 76ers,,Washington Wizards,,,,
Sun Jan 15 2017,3:00 pm,Milwaukee Bucks,,Atlanta Hawks,,,,
Sun Jan 15 2017,6:00 pm,Houston Rockets,,Brooklyn Nets,,,,
Sun Jan 15 2017,4:00 pm,Minnesota Timberwolves,,Dallas Mavericks,,,,
Sun Jan 15 2017,9:30 pm,Detroit Pistons,,Los Angeles Lakers,,,,
Sun Jan 15 2017,9:00 pm,Chicago Bulls,,Memphis Grizzlies,,,,
Sun Jan 15 2017,9:00 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Sun Jan 15 2017,3:00 pm,New York Knicks,,Toronto Raptors,,,,
Mon Jan 16 2017,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Mon Jan 16 2017,5:00 pm,Orlando Magic,,Denver Nuggets,,,,
Mon Jan 16 2017,8:00 pm,Cleveland Cavaliers,,Golden State Warriors,,,,
Mon Jan 16 2017,4:00 pm,New Orleans Pelicans,,Indiana Pacers,,,,
Mon Jan 16 2017,10:30 pm,Oklahoma City Thunder,,Los Angeles Clippers,,,,
Mon Jan 16 2017,3:30 pm,Philadelphia 76ers,,Milwaukee Bucks,,,,
Mon Jan 16 2017,1:00 pm,Atlanta Hawks,,New York Knicks,,,,
Mon Jan 16 2017,9:00 pm,Utah Jazz,,Phoenix Suns,,,,
Mon Jan 16 2017,2:00 pm,Portland Trail Blazers,,Washington Wizards,,,,
Tue Jan 17 2017,7:30 pm,Toronto Raptors,,Brooklyn Nets,,,,
