START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/17,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park - Ft. Myers,"",02/23/17,02/23/17,04:05 PM,04:05 PM,FALSE,TRUE,02/23/17,12:05 PM,12:05 PM,FREE,BUSY
02/24/17,01:05 PM,01:05 PM,Mets at Red Sox,JetBlue Park - Ft. Myers,"",02/24/17,02/24/17,04:05 PM,04:05 PM,FALSE,TRUE,02/24/17,12:05 PM,12:05 PM,FREE,BUSY
02/25/17,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"",02/25/17,02/25/17,04:05 PM,04:05 PM,FALSE,TRUE,02/25/17,12:05 PM,12:05 PM,FREE,BUSY
02/26/17,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,"",02/26/17,02/26/17,04:05 PM,04:05 PM,FALSE,TRUE,02/26/17,12:05 PM,12:05 PM,FREE,BUSY
02/27/17,01:05 PM,01:05 PM,Cardinals at Red Sox,JetBlue Park - Ft. Myers,"",02/27/17,02/27/17,04:05 PM,04:05 PM,FALSE,TRUE,02/27/17,12:05 PM,12:05 PM,FREE,BUSY
02/28/17,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,"",02/28/17,02/28/17,04:05 PM,04:05 PM,FALSE,TRUE,02/28/17,12:05 PM,12:05 PM,FREE,BUSY
03/01/17,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,"",03/01/17,03/01/17,04:05 PM,04:05 PM,FALSE,TRUE,03/01/17,12:05 PM,12:05 PM,FREE,BUSY
03/02/17,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"",03/02/17,03/02/17,04:05 PM,04:05 PM,FALSE,TRUE,03/02/17,12:05 PM,12:05 PM,FREE,BUSY
03/03/17,01:05 PM,01:05 PM,Red Sox at Braves,Champion Stadium - Lake Buena Vista,"",03/03/17,03/03/17,04:05 PM,04:05 PM,FALSE,TRUE,03/03/17,12:05 PM,12:05 PM,FREE,BUSY
03/04/17,01:05 PM,01:05 PM,Red Sox at Pirates,McKechnie Field - Bradenton,"",03/04/17,03/04/17,04:05 PM,04:05 PM,FALSE,TRUE,03/04/17,12:05 PM,12:05 PM,FREE,BUSY
03/05/17,01:05 PM,01:05 PM,Braves at Red Sox,JetBlue Park - Ft. Myers,"",03/05/17,03/05/17,04:05 PM,04:05 PM,FALSE,TRUE,03/05/17,12:05 PM,12:05 PM,FREE,BUSY
03/06/17,01:05 PM,01:05 PM,Red Sox at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/06/17,03/06/17,04:05 PM,04:05 PM,FALSE,TRUE,03/06/17,12:05 PM,12:05 PM,FREE,BUSY
03/07/17,01:05 PM,01:05 PM,Red Sox at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"",03/07/17,03/07/17,04:05 PM,04:05 PM,FALSE,TRUE,03/07/17,12:05 PM,12:05 PM,FREE,BUSY
03/08/17,01:10 PM,01:10 PM,Red Sox at Mets,Tradition Field - Port St. Lucie,"",03/08/17,03/08/17,04:10 PM,04:10 PM,FALSE,TRUE,03/08/17,12:10 PM,12:10 PM,FREE,BUSY
03/09/17,01:05 PM,01:05 PM,United States at Red Sox,JetBlue Park - Ft. Myers,"",03/09/17,03/09/17,04:05 PM,04:05 PM,FALSE,TRUE,03/09/17,12:05 PM,12:05 PM,FREE,BUSY
03/10/17,06:05 PM,06:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"",03/10/17,03/10/17,09:05 PM,09:05 PM,FALSE,TRUE,03/10/17,05:05 PM,05:05 PM,FREE,BUSY
03/11/17,01:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,"",03/11/17,03/11/17,04:05 PM,04:05 PM,FALSE,TRUE,03/11/17,12:05 PM,12:05 PM,FREE,BUSY
03/11/17,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"",03/11/17,03/11/17,04:05 PM,04:05 PM,FALSE,TRUE,03/11/17,12:05 PM,12:05 PM,FREE,BUSY
03/12/17,01:07 PM,01:07 PM,Red Sox at Phillies,Bright House Field - Clearwater,"",03/12/17,03/12/17,04:07 PM,04:07 PM,FALSE,TRUE,03/12/17,12:07 PM,12:07 PM,FREE,BUSY
03/13/17,01:07 PM,01:07 PM,Red Sox at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/13/17,03/13/17,04:07 PM,04:07 PM,FALSE,TRUE,03/13/17,12:07 PM,12:07 PM,FREE,BUSY
03/14/17,01:05 PM,01:05 PM,Blue Jays at Red Sox,JetBlue Park - Ft. Myers,"",03/14/17,03/14/17,04:05 PM,04:05 PM,FALSE,TRUE,03/14/17,12:05 PM,12:05 PM,FREE,BUSY
03/15/17,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,"",03/15/17,03/15/17,04:05 PM,04:05 PM,FALSE,TRUE,03/15/17,12:05 PM,12:05 PM,FREE,BUSY
03/16/17,06:05 PM,06:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,"",03/16/17,03/16/17,09:05 PM,09:05 PM,FALSE,TRUE,03/16/17,05:05 PM,05:05 PM,FREE,BUSY
03/17/17,01:05 PM,01:05 PM,Astros at Red Sox,JetBlue Park - Ft. Myers,"",03/17/17,03/17/17,04:05 PM,04:05 PM,FALSE,TRUE,03/17/17,12:05 PM,12:05 PM,FREE,BUSY
03/18/17,01:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,"",03/18/17,03/18/17,04:05 PM,04:05 PM,FALSE,TRUE,03/18/17,12:05 PM,12:05 PM,FREE,BUSY
03/19/17,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"",03/19/17,03/19/17,04:05 PM,04:05 PM,FALSE,TRUE,03/19/17,12:05 PM,12:05 PM,FREE,BUSY
03/20/17,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"",03/20/17,03/20/17,04:05 PM,04:05 PM,FALSE,TRUE,03/20/17,12:05 PM,12:05 PM,FREE,BUSY
03/21/17,06:35 PM,06:35 PM,Red Sox at Yankees,George M. Steinbrenner Field - Tampa,"",03/21/17,03/21/17,09:35 PM,09:35 PM,FALSE,TRUE,03/21/17,05:35 PM,05:35 PM,FREE,BUSY
03/23/17,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,"",03/23/17,03/23/17,04:05 PM,04:05 PM,FALSE,TRUE,03/23/17,12:05 PM,12:05 PM,FREE,BUSY
03/24/17,01:07 PM,01:07 PM,Red Sox at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/24/17,03/24/17,04:07 PM,04:07 PM,FALSE,TRUE,03/24/17,12:07 PM,12:07 PM,FREE,BUSY
03/25/17,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,"",03/25/17,03/25/17,04:05 PM,04:05 PM,FALSE,TRUE,03/25/17,12:05 PM,12:05 PM,FREE,BUSY
03/25/17,01:05 PM,01:05 PM,Phillies at Red Sox,JetBlue Park - Ft. Myers,"",03/25/17,03/25/17,04:05 PM,04:05 PM,FALSE,TRUE,03/25/17,12:05 PM,12:05 PM,FREE,BUSY
03/26/17,01:05 PM,01:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,"",03/26/17,03/26/17,04:05 PM,04:05 PM,FALSE,TRUE,03/26/17,12:05 PM,12:05 PM,FREE,BUSY
03/27/17,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,"",03/27/17,03/27/17,04:05 PM,04:05 PM,FALSE,TRUE,03/27/17,12:05 PM,12:05 PM,FREE,BUSY
03/28/17,06:05 PM,06:05 PM,Red Sox at Pirates,McKechnie Field - Bradenton,"",03/28/17,03/28/17,09:05 PM,09:05 PM,FALSE,TRUE,03/28/17,05:05 PM,05:05 PM,FREE,BUSY
03/29/17,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"",03/29/17,03/29/17,04:05 PM,04:05 PM,FALSE,TRUE,03/29/17,12:05 PM,12:05 PM,FREE,BUSY
03/30/17,01:05 PM,01:05 PM,Nationals at Red Sox,JetBlue Park - Ft. Myers,"",03/30/17,03/30/17,04:05 PM,04:05 PM,FALSE,TRUE,03/30/17,12:05 PM,12:05 PM,FREE,BUSY
04/03/17,02:05 PM,02:05 PM,Pirates at Red Sox,Fenway Park - Boston,"",04/03/17,04/03/17,05:05 PM,05:05 PM,FALSE,TRUE,04/03/17,01:05 PM,01:05 PM,FREE,BUSY
04/05/17,07:10 PM,07:10 PM,Pirates at Red Sox,Fenway Park - Boston,"",04/05/17,04/05/17,10:10 PM,10:10 PM,FALSE,TRUE,04/05/17,06:10 PM,06:10 PM,FREE,BUSY
04/06/17,01:35 PM,01:35 PM,Pirates at Red Sox,Fenway Park - Boston,"",04/06/17,04/06/17,04:35 PM,04:35 PM,FALSE,TRUE,04/06/17,12:35 PM,12:35 PM,FREE,BUSY
04/07/17,01:10 PM,01:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"",04/07/17,04/07/17,04:10 PM,04:10 PM,FALSE,TRUE,04/07/17,12:10 PM,12:10 PM,FREE,BUSY
04/08/17,01:10 PM,01:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"",04/08/17,04/08/17,04:10 PM,04:10 PM,FALSE,TRUE,04/08/17,12:10 PM,12:10 PM,FREE,BUSY
04/09/17,01:10 PM,01:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"",04/09/17,04/09/17,04:10 PM,04:10 PM,FALSE,TRUE,04/09/17,12:10 PM,12:10 PM,FREE,BUSY
04/10/17,01:10 PM,01:10 PM,Red Sox at Tigers,Comerica Park - Detroit,"",04/10/17,04/10/17,04:10 PM,04:10 PM,FALSE,TRUE,04/10/17,12:10 PM,12:10 PM,FREE,BUSY
04/11/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",04/11/17,04/11/17,10:10 PM,10:10 PM,FALSE,TRUE,04/11/17,06:10 PM,06:10 PM,FREE,BUSY
04/12/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",04/12/17,04/12/17,10:10 PM,10:10 PM,FALSE,TRUE,04/12/17,06:10 PM,06:10 PM,FREE,BUSY
04/14/17,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park - Boston,"",04/14/17,04/14/17,10:10 PM,10:10 PM,FALSE,TRUE,04/14/17,06:10 PM,06:10 PM,FREE,BUSY
04/15/17,04:05 PM,04:05 PM,Rays at Red Sox,Fenway Park - Boston,"",04/15/17,04/15/17,07:05 PM,07:05 PM,FALSE,TRUE,04/15/17,03:05 PM,03:05 PM,FREE,BUSY
04/16/17,01:35 PM,01:35 PM,Rays at Red Sox,Fenway Park - Boston,"",04/16/17,04/16/17,04:35 PM,04:35 PM,FALSE,TRUE,04/16/17,12:35 PM,12:35 PM,FREE,BUSY
04/17/17,11:05 AM,11:05 AM,Rays at Red Sox,Fenway Park - Boston,"",04/17/17,04/17/17,02:05 PM,02:05 PM,FALSE,TRUE,04/17/17,10:05 AM,10:05 AM,FREE,BUSY
04/18/17,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/18/17,04/18/17,10:07 PM,10:07 PM,FALSE,TRUE,04/18/17,06:07 PM,06:07 PM,FREE,BUSY
04/19/17,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/19/17,04/19/17,10:07 PM,10:07 PM,FALSE,TRUE,04/19/17,06:07 PM,06:07 PM,FREE,BUSY
04/20/17,12:37 PM,12:37 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"",04/20/17,04/20/17,03:37 PM,03:37 PM,FALSE,TRUE,04/20/17,11:37 AM,11:37 AM,FREE,BUSY
04/21/17,07:05 PM,07:05 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/21/17,04/21/17,10:05 PM,10:05 PM,FALSE,TRUE,04/21/17,06:05 PM,06:05 PM,FREE,BUSY
04/22/17,07:05 PM,07:05 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/22/17,04/22/17,10:05 PM,10:05 PM,FALSE,TRUE,04/22/17,06:05 PM,06:05 PM,FREE,BUSY
04/23/17,01:35 PM,01:35 PM,Red Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"",04/23/17,04/23/17,04:35 PM,04:35 PM,FALSE,TRUE,04/23/17,12:35 PM,12:35 PM,FREE,BUSY
04/25/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"",04/25/17,04/25/17,10:10 PM,10:10 PM,FALSE,TRUE,04/25/17,06:10 PM,06:10 PM,FREE,BUSY
04/26/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"",04/26/17,04/26/17,10:10 PM,10:10 PM,FALSE,TRUE,04/26/17,06:10 PM,06:10 PM,FREE,BUSY
04/27/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"",04/27/17,04/27/17,10:10 PM,10:10 PM,FALSE,TRUE,04/27/17,06:10 PM,06:10 PM,FREE,BUSY
04/28/17,07:10 PM,07:10 PM,Cubs at Red Sox,Fenway Park - Boston,"",04/28/17,04/28/17,10:10 PM,10:10 PM,FALSE,TRUE,04/28/17,06:10 PM,06:10 PM,FREE,BUSY
04/29/17,04:05 PM,04:05 PM,Cubs at Red Sox,Fenway Park - Boston,"",04/29/17,04/29/17,07:05 PM,07:05 PM,FALSE,TRUE,04/29/17,03:05 PM,03:05 PM,FREE,BUSY
04/30/17,08:05 PM,08:05 PM,Cubs at Red Sox,Fenway Park - Boston,"Local TV: ESPN",04/30/17,04/30/17,11:05 PM,11:05 PM,FALSE,TRUE,04/30/17,07:05 PM,07:05 PM,FREE,BUSY
05/01/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",05/01/17,05/01/17,10:10 PM,10:10 PM,FALSE,TRUE,05/01/17,06:10 PM,06:10 PM,FREE,BUSY
05/02/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",05/02/17,05/02/17,10:10 PM,10:10 PM,FALSE,TRUE,05/02/17,06:10 PM,06:10 PM,FREE,BUSY
05/03/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",05/03/17,05/03/17,10:10 PM,10:10 PM,FALSE,TRUE,05/03/17,06:10 PM,06:10 PM,FREE,BUSY
05/04/17,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"",05/04/17,05/04/17,10:10 PM,10:10 PM,FALSE,TRUE,05/04/17,06:10 PM,06:10 PM,FREE,BUSY
05/05/17,08:10 PM,08:10 PM,Red Sox at Twins,Target Field - Minneapolis,"",05/05/17,05/05/17,11:10 PM,11:10 PM,FALSE,TRUE,05/05/17,07:10 PM,07:10 PM,FREE,BUSY
05/06/17,02:10 PM,02:10 PM,Red Sox at Twins,Target Field - Minneapolis,"",05/06/17,05/06/17,05:10 PM,05:10 PM,FALSE,TRUE,05/06/17,01:10 PM,01:10 PM,FREE,BUSY
05/07/17,02:10 PM,02:10 PM,Red Sox at Twins,Target Field - Minneapolis,"",05/07/17,05/07/17,05:10 PM,05:10 PM,FALSE,TRUE,05/07/17,01:10 PM,01:10 PM,FREE,BUSY
05/09/17,07:40 PM,07:40 PM,Red Sox at Brewers,Miller Park - Milwaukee,"",05/09/17,05/09/17,10:40 PM,10:40 PM,FALSE,TRUE,05/09/17,06:40 PM,06:40 PM,FREE,BUSY
05/10/17,08:10 PM,08:10 PM,Red Sox at Brewers,Miller Park - Milwaukee,"",05/10/17,05/10/17,11:10 PM,11:10 PM,FALSE,TRUE,05/10/17,07:10 PM,07:10 PM,FREE,BUSY
05/11/17,01:10 PM,01:10 PM,Red Sox at Brewers,Miller Park - Milwaukee,"",05/11/17,05/11/17,04:10 PM,04:10 PM,FALSE,TRUE,05/11/17,12:10 PM,12:10 PM,FREE,BUSY
